Name,Yearly Salary,ATT,RUSH YDS,AVG RUSH YDS,LG RUSH,RUSH 20 CNT,RUSH TD,REC,TGT,REC YDS,AVG REC YDS,REC TD,TTL SNAP CNT,Injured
Ezekiel Elliott,18220000,231,876,3.8,27,5,12,17,23,92,5.4,0,558,1
Dalvin Cook,12001272,264,1173,4.4,81,14,8,39,56,295,7.6,2,841,0
Joe Mixon,11420588,212,826,3.9,40,7,7,60,75,441,7.4,2,624,1
Derrick Henry,9367647,349,1538,4.4,56,20,13,33,41,398,12.1,0,648,1
Saquon Barkley,7217000,295,1312,4.4,68,16,10,57,76,338,5.9,0,856,1
Austin Ekeler,7000000,204,915,4.5,72,10,13,107,127,722,6.7,5,734,0
Kareem Hunt,6250000,123,468,3.8,24,2,3,35,44,210,6,1,492,0
Alvin Kamara,6128000,223,897,4,27,3,2,57,77,490,8.6,2,642,1
Aaron Jones,5948000,213,1121,5.3,36,10,2,59,72,395,6.7,5,630,0
Rashaad Penny,5630000,57,346,6.1,41,9,2,4,5,16,4,0,170,1
Nick Chubb,5213059,302,1525,5,41,18,12,27,37,239,8.9,1,660,1
Gus Edwards,4500000,87,433,5,37,4,3,0,2,0,0,0,159,1
Jamaal Williams,4375000,262,1066,4.1,58,10,17,12,16,73,6.1,0,459,0
James Conner,3975000,183,782,4.3,23,3,7,46,58,300,6.5,1,663,1
Leonard Fournette,3970588,189,668,3.5,23,1,3,73,83,523,7.2,3,689,1
Josh Jacobs,3796990,340,1653,4.9,86,14,12,53,64,400,7.5,0,821,1
David Montgomery,3051545,201,801,4,28,2,5,34,40,316,9.3,1,629,1
Najee Harris,2965328,272,1034,3.8,36,2,7,41,53,229,5.6,3,763,0
Clyde Edwards-Helaire,2951339,71,302,4.3,52,5,3,17,23,151,8.9,3,224,0
Devin Singletary,2798956,178,822,4.6,33,7,5,38,52,280,7.4,1,709,0
Myles Gaskin,2561777,10,26,2.6,10,0,0,4,6,28,7,0,39,1
Cordarrelle Patterson,2500000,144,695,4.8,40,6,8,21,31,122,5.8,0,382,1
Rex Burkhead,2476471,26,80,3.1,9,0,0,37,51,204,5.5,1,251,0
